id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
L000488,George,Loyall,,,1789.0,1868.0,3,['Representative'],['VA'],['Jacksonian'],21-24
L000490,Edward,Lucas,,,1780.0,1858.0,2,['Representative'],['VA'],['Jacksonian'],23-24
L000492,John,Lucas,Baptiste Charles,,1758.0,1842.0,1,['Representative'],['PA'],['Democratic Republican'],8-8
L000512,Wilson,Lumpkin,,,1783.0,1870.0,5,"['Senator', 'Representative']",['GA'],"['Democratic Republican', 'Jacksonian', 'Democrat']",14-26
L000524,Aaron,Lyle,,,1759.0,1825.0,4,['Representative'],['PA'],['Democratic Republican'],11-14
L000527,Joseph,Lyman,Stebbins,,1785.0,1821.0,1,['Representative'],['NY'],['Democratic Republican'],16-16
L000528,Samuel,Lyman,,,1749.0,1802.0,3,['Representative'],['MA'],['Federalist'],4-6
L000530,William,Lyman,,,1755.0,1811.0,2,['Representative'],['MA'],"['Democratic Republican', 'Anti-Administration']",3-4
L000539,Asa,Lyon,,,1763.0,1841.0,1,['Representative'],['VT'],['Federalist'],14-14
L000541,Chittenden,Lyon,,,1787.0,1842.0,4,['Representative'],['KY'],['Jacksonian'],20-23
L000544,Lucius,Lyon,,,1800.0,1851.0,4,"['Senator', 'Delegate', 'Representative']",['MI'],['Democrat'],23-28
L000545,Matthew,Lyon,,,1749.0,1822.0,6,['Representative'],"['VT', 'KY']",['Democratic Republican'],5-11
L000546,Robert,Lytle,Todd,,1804.0,1839.0,1,['Representative'],['OH'],['Jacksonian'],23-23
M000013,James,MacHir,,,,1827.0,1,['Representative'],['VA'],['Federalist'],5-5
M000029,Samuel,MacLay,,,1741.0,1811.0,4,"['Senator', 'Representative']",['PA'],['Democratic Republican'],4-10
M000033,William,MacLay,Plunkett,,1774.0,1842.0,3,['Representative'],['PA'],['Democratic Republican'],14-16
M000031,William,MacLay,,,1737.0,1804.0,1,['Senator'],['PA'],['Anti-Administration'],1-1
M000030,William,MacLay,,,1765.0,1825.0,2,['Representative'],['PA'],['Democratic Republican'],14-15
M000034,Nathaniel,Macon,,,1757.0,1837.0,20,"['Senator', 'Representative']",['NC'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",2-20
M000043,James,Madison,,Jr.,1751.0,1836.0,6,"['Delegate', 'Representative']",['VA'],"['Democratic Republican', 'Anti-Administration']",1-4
M000047,John,Magee,,,1794.0,1868.0,2,['Representative'],['NY'],['Jacksonian'],20-21
M000056,Allan,Magruder,Bowie,,1775.0,1822.0,1,['Senator'],['LA'],['Democratic Republican'],12-12
M000057,Patrick,Magruder,,,1768.0,1819.0,1,['Representative'],['MD'],['Democratic Republican'],9-9
M000076,Francis,Malbone,,,1759.0,1809.0,3,"['Senator', 'Representative']",['RI'],['Federalist'],3-11
